sentence,correct,wrong1,wrong2,wrong3
She (play) ... tennis every weekend.,plays,play,is playing,played
I (like) ... coffee in the morning.,like,likes,am liking,liked
They (go) ... to school by bus.,go,goes,are going,went
He (watch) ... TV in the evening.,watches,watch,is watching,watched
We (study) ... English on Mondays.,study,studies,are studying,studied
The dog (eat) ... twice a day.,eats,eat,is eating,ate
My parents (live) ... in a big city.,live,lives,are living,lived
The sun (rise) ... in the east.,rises,rise,is rising,rose
You (work) ... very hard.,work,works,are working,worked
The children (like) ... chocolate.,like,likes,are liking,liked
