sentence,correct,wrong1,wrong2,wrong3
She (not/play) ... tennis on Mondays.,does not play,doesn't plays,don't play,isn't playing
I (not/like) ... milk.,do not like,does not like,don't likes,am not liking
They (not/go) ... to school on Sunday.,do not go,does not go,don't goes,are not going
He (not/watch) ... TV in the morning.,does not watch,doesn't watches,don't watch,isn't watching
We (not/study) ... at the weekend.,do not study,does not study,don't studies,are not studying
(you/work) ... on Saturdays?,Do you work,Does you work,Are you work,Do you working
(she/live) ... near the school?,Does she live,Do she live,Is she live,Does she lives
(they/play) ... football after school?,Do they play,Does they play,Are they play,Do they plays
(he/go) ... to bed early?,Does he go,Do he go,Is he go,Does he goes
(we/eat) ... breakfast at seven?,Do we eat,Does we eat,Are we eat,Do we eats
