sentence,correct,wrong1,wrong2,wrong3
She (not/play) ... outside now.,is not playing,isn't play,does not play,isn't playing
I (not/study) ... English right now.,am not studying,amn't studying,do not study,am not study
They (not/eat) ... lunch at the moment.,are not eating,aren't eat,do not eat,are not eat
He (not/run) ... in the park now.,is not running,isn't run,does not run,is not run
We (not/watch) ... a movie right now.,are not watching,aren't watch,do not watch,are not watch
(you/talk) ... to the teacher now?,Are you talking,Do you talking,Is you talking,Are you talk
(he/work) ... today?,Is he working,Does he working,Is he work,Are he working
(they/study) ... in the library?,Are they studying,Do they studying,Are they study,Is they studying
(we/wait) ... for the bus?,Are we waiting,Do we waiting,Are we wait,Is we waiting
(she/sleep) ... at the moment?,Is she sleeping,Does she sleeping,Is she sleep,Are she sleeping
