sentence,correct,wrong1,wrong2,wrong3
I ___ a student.,am,is,are,be
She ___ my sister.,is,am,are,be
They ___ in the garden.,are,is,am,be
You ___ very kind.,are,is,am,be
He ___ a doctor.,is,am,are,be
We ___ at home now.,are,is,am,be
It ___ cold today.,is,are,am,be
I ___ happy.,am,is,are,be
She ___ at school.,is,are,am,be
You ___ my friend.,are,is,am,be
___ she your sister?,Is,Am,Are,Be
___ you a student?,Are,Am,Is,Be
___ they in the park?,Are,Is,Am,Be
___ he your teacher?,Is,Are,Am,Be
___ I late?,Am,Is,Are,Be
I ___ not a teacher.,am,is,are,be
She ___ not at home.,is,are,am,be
They ___ not in the classroom.,are,is,am,be
He ___ not my brother.,is,are,am,be
We ___ not ready.,are,is,am,be
