sentence,correct,wrong1,wrong2,wrong3
There (be) ... a cat in the garden.,is,are,was,be
There (be) ... three books on the table.,are,is,was,be
There (be) ... a supermarket near my house.,is,are,was,be
There (be) ... many cars in the street.,are,is,was,be
There (be) ... a pen in my bag.,is,are,were,be
There (be) ... some apples on the tree.,are,is,was,be
There (be) ... a student in the classroom.,is,are,were,be
There (be) ... two chairs in the room.,are,is,was,be
There (be) ... a cinema in this town.,is,are,were,be
There (be) ... some people in the park.,are,is,was,be
