sentence,correct,wrong1,wrong2,wrong3
She (play) ... outside now.,is playing,am playing,are playing,plays
I (study) ... English right now.,am studying,is studying,are studying,study
They (eat) ... lunch at the moment.,are eating,is eating,am eating,eat
He (run) ... in the park now.,is running,are running,am running,runs
We (watch) ... a movie right now.,are watching,is watching,am watching,watch
The dog (sleep) ... on the sofa.,is sleeping,are sleeping,am sleeping,sleeps
My parents (cook) ... dinner now.,are cooking,is cooking,am cooking,cook
Look! The bird (fly) ... over the house.,is flying,are flying,am flying,flies
You (talk) ... too loudly right now.,are talking,is talking,am talking,talk
The children (play) ... in the garden.,are playing,is playing,am playing,play
